Liuk Del Valun - 14/07/2022 17:30:31 | Bot
Liuk Del Valun - 23/08/2022 20:09:03 | Command raised an exception: TypeError: 'NoneType' object is not subscriptable
Liuk Del Valun - 23/08/2022 20:11:14 | Command raised an exception: TypeError: 'NoneType' object is not subscriptable
Liuk Del Valun - 23/08/2022 20:19:34 | Command raised an exception: TypeError: 'NoneType' object is not subscriptable
Liuk Del Valun - 23/08/2022 20:22:57 | Command raised an exception: TypeError: 'NoneType' object is not subscriptable
Liuk Del Valun - 23/08/2022 20:25:03 | Command raised an exception: TypeError: 'NoneType' object is not subscriptable
Liuk Del Valun - 23/08/2022 20:27:34 | Command raised an exception: NameError: name 'youtube_dl' is not defined
Liuk Del Valun - 23/08/2022 20:28:16 | Command raised an exception: TypeError: 
Liuk Del Valun - 23/08/2022 20:29:02 | Command raised an exception: TypeError: 
Liuk Del Valun - 23/08/2022 20:34:31 | Command raised an exception: TypeError: 
Liuk Del Valun - 23/08/2022 20:37:01 | Command raised an exception: TypeError: string indices must be integers
Liuk Del Valun - 24/08/2022 13:51:07 | Command raised an exception: AttributeError: 'NoneType' object has no attribute 'play'
Liuk Del Valun - 24/08/2022 13:51:40 | Command raised an exception: TypeError: MusicBot.connect() missing 1 required positional argument: 'ctx'
Liuk Del Valun - 24/08/2022 16:58:36 | Command raised an exception: AttributeError: 'list' object has no attribute 'split'
Liuk Del Valun - 24/08/2022 16:59:55 | Command raised an exception: TypeError: 'function' object is not iterable
Liuk Del Valun - 24/08/2022 17:40:22 | Command raised an exception: AttributeError: 'list' object has no attribute 'split'
Liuk Del Valun - 24/08/2022 17:41:14 | Command raised an exception: AttributeError: 'list' object has no attribute 'split'
Liuk Del Valun - 24/08/2022 17:45:05 | Command raised an exception: TypeError: MusicBot.reload_bot() missing 1 required positional argument: 'ctx'
Liuk Del Valun - 31/08/2022 18:58:03 | Command raised an exception: TypeError: MusicBot.__init__() missing 4 required positional arguments: 'bot', 'prefix', 'volume', and 'bot_name'
Liuk Del Valun - 31/08/2022 19:08:46 | ('playlist name', 'The playlist does not exist.')
Liuk Del Valun - 31/08/2022 19:08:54 | ('playlist name', 'The playlist does not exist.')
Liuk Del Valun - 31/08/2022 19:09:47 | ('playlist name', <Member id=722922053384142879 name='Liuk Del Valun' discriminator='3966' bot=False nick=None guild=<Guild id=938399497795538974 name='Cazzi miei' shard_id=0 chunked=True member_count=2>>)
Liuk Del Valun - 31/08/2022 19:10:36 | ('playlist name', <Member id=722922053384142879 name='Liuk Del Valun' discriminator='3966' bot=False nick=None guild=<Guild id=938399497795538974 name='Cazzi miei' shard_id=0 chunked=True member_count=2>>)
Liuk Del Valun - 31/08/2022 19:11:13 | Command raised an exception: AttributeError: 'tuple' object has no attribute 'strip'
Liuk Del Valun - 31/08/2022 19:12:02 | ('query', <Member id=722922053384142879 name='Liuk Del Valun' discriminator='3966' bot=False nick=None guild=<Guild id=938399497795538974 name='Cazzi miei' shard_id=0 chunked=True member_count=2>>)
Liuk Del Valun - 31/08/2022 19:12:48 | ('query', <Member id=722922053384142879 name='Liuk Del Valun' discriminator='3966' bot=False nick=None guild=<Guild id=938399497795538974 name='Cazzi miei' shard_id=0 chunked=True member_count=2>>)
Liuk Del Valun - 31/08/2022 19:13:19 | ('query', <Member id=722922053384142879 name='Liuk Del Valun' discriminator='3966' bot=False nick=None guild=<Guild id=938399497795538974 name='Cazzi miei' shard_id=0 chunked=True member_count=2>>)
Liuk Del Valun - 31/08/2022 19:15:09 | ('query', <Member id=722922053384142879 name='Liuk Del Valun' discriminator='3966' bot=False nick=None guild=<Guild id=938399497795538974 name='Cazzi miei' shard_id=0 chunked=True member_count=2>>)
Liuk Del Valun - 31/08/2022 19:18:51 | ('query', <Member id=722922053384142879 name='Liuk Del Valun' discriminator='3966' bot=False nick=None guild=<Guild id=938399497795538974 name='Cazzi miei' shard_id=0 chunked=True member_count=2>>)
Liuk Del Valun - 31/08/2022 19:19:21 | ('query', <Member id=722922053384142879 name='Liuk Del Valun' discriminator='3966' bot=False nick=None guild=<Guild id=938399497795538974 name='Cazzi miei' shard_id=0 chunked=True member_count=2>>)
Liuk Del Valun - 31/08/2022 19:19:33 | ('query', <Member id=722922053384142879 name='Liuk Del Valun' discriminator='3966' bot=False nick=None guild=<Guild id=938399497795538974 name='Cazzi miei' shard_id=0 chunked=True member_count=2>>)
Liuk Del Valun - 31/08/2022 19:31:20 | ('query', <Member id=722922053384142879 name='Liuk Del Valun' discriminator='3966' bot=False nick=None guild=<Guild id=938399497795538974 name='Cazzi miei' shard_id=0 chunked=True member_count=2>>)
Liuk Del Valun - 01/09/2022 16:36:40 | Command raised an exception: AttributeError: 'NoneType' object has no attribute 'channel'
Liuk Del Valun - 01/09/2022 16:37:33 | Command raised an exception: AttributeError: 'NoneType' object has no attribute 'channel'
Liuk Del Valun - 01/09/2022 16:39:11 | Command raised an exception: AttributeError: 'NoneType' object has no attribute 'channel'
Liuk Del Valun - 01/09/2022 16:44:22 | Command raised an exception: TypeError: object of type 'int' has no len()
Liuk Del Valun - 01/09/2022 16:45:05 | Command raised an exception: TypeError: descriptor 'isdigit' for 'str' objects doesn't apply to a 'tuple' object
Liuk Del Valun - 01/09/2022 17:00:28 | Command raised an exception: TypeError: ord() expected a character, but string of length 2 found
Liuk Del Valun - 01/09/2022 17:19:41 | Command raised an exception: IndexError: list index out of range
Liuk Del Valun - 01/09/2022 17:26:34 | Command raised an exception: TypeError: Embed.set_image() takes 1 positional argument but 2 were given
Liuk Del Valun - 02/09/2022 18:36:29 | Command raised an exception: TypeError: MusicBot.lyrics.<locals>.check() takes 1 positional argument but 2 were given
Liuk Del Valun - 02/09/2022 18:45:58 | Command raised an exception: TypeError: 'int' object is not iterable
Liuk Del Valun - 02/09/2022 18:53:48 | Command raised an exception: AttributeError: 'Reaction' object has no attribute '__contains__'
Liuk Del Valun - 02/09/2022 18:54:47 | Command raised an exception: AttributeError: 'Message' object has no attribute '__contains__'
Liuk Del Valun - 02/09/2022 18:56:12 | Command raised an exception: HTTPException: 400 Bad Request (error code: 50035): Invalid Form Body
In embeds.0.fields.0.value: Must be 1024 or fewer in length.
Liuk Del Valun - 02/09/2022 19:01:09 | Command raised an exception: HTTPException: 400 Bad Request (error code: 50035): Invalid Form Body
In embeds: Embed size exceeds maximum size of 6000
Liuk Del Valun - 02/09/2022 19:43:39 | Command raised an exception: TypeError: sequence item 0: expected str instance, Context found
Liuk Del Valun - 02/09/2022 19:44:09 | Command raised an exception: TypeError: sequence item 0: expected str instance, Context found
Liuk Del Valun - 02/09/2022 19:51:14 | Command raised an exception: TypeError: sequence item 0: expected str instance, Context found
Liuk Del Valun - 02/09/2022 19:56:26 | Command raised an exception: ClientException: Already connected to a voice channel.
Liuk Del Valun - 02/09/2022 19:56:35 | Command raised an exception: UnboundLocalError: local variable 'reaction' referenced before assignment
Liuk Del Valun - 03/09/2022 17:46:25 | Command raised an exception: TypeError: descriptor 'isdigit' for 'str' objects doesn't apply to a 'tuple' object
Liuk Del Valun - 03/09/2022 18:09:22 | Command raised an exception: TypeError: MusicBot.cog_unload() missing 1 required positional argument: 'self'
Liuk Del Valun - 03/09/2022 18:16:34 | Command raised an exception: TypeError: 'str' object is not callable
Liuk Del Valun - 03/09/2022 18:17:11 | Command raised an exception: TypeError: write() argument must be str, not RawConfigParser
Liuk Del Valun - 03/09/2022 18:17:40 | Command raised an exception: TypeError: write() argument must be str, not _io.TextIOWrapper
Liuk Del Valun - 03/09/2022 18:17:57 | Command raised an exception: TypeError: write() argument must be str, not _io.TextIOWrapper
Liuk Del Valun - 03/09/2022 18:33:44 | Command raised an exception: AttributeError: 'Bot' object has no attribute 'logout'
Liuk Del Valun - 01/02/2023 17:16:39 | Command raised an exception: ClientException: Already connected to a voice channel.
Liuk Del Valun - 01/02/2023 17:18:34 | Command raised an exception: AttributeError: 'NoneType' object has no attribute 'is_playing'
